Year,Team,League,Games,Runs,Runs_Allowed,Hits,Homeruns,Avgerage_Runs,Average_Runs_Allowed,Average_Hits,Average_Homeruns
1980,Milwaukee Brewers,AL,162,811,682,1555,203,5.01,4.21,9.6,1.25
1981,Milwaukee Brewers,AL,109,493,459,961,96,4.52,4.21,8.82,0.88
1982,Milwaukee Brewers,AL,163,891,717,1599,216,5.47,4.4,9.81,1.33
1983,Milwaukee Brewers,AL,162,764,708,1556,132,4.72,4.37,9.6,0.81
1984,Milwaukee Brewers,AL,161,641,734,1446,96,3.98,4.56,8.98,0.6
1985,Milwaukee Brewers,AL,161,690,802,1467,101,4.29,4.98,9.11,0.63
1986,Milwaukee Brewers,AL,161,667,734,1393,127,4.14,4.56,8.65,0.79
1987,Milwaukee Brewers,AL,162,862,817,1552,163,5.32,5.04,9.58,1.01
1988,Milwaukee Brewers,AL,162,682,616,1409,113,4.21,3.8,8.7,0.7
1989,Milwaukee Brewers,AL,162,707,679,1415,126,4.36,4.19,8.73,0.78
1990,Milwaukee Brewers,AL,162,732,760,1408,128,4.52,4.69,8.69,0.79
1991,Milwaukee Brewers,AL,162,799,744,1523,116,4.93,4.59,9.4,0.72
1992,Milwaukee Brewers,AL,162,740,604,1477,82,4.57,3.73,9.12,0.51
1993,Milwaukee Brewers,AL,162,733,792,1426,125,4.52,4.89,8.8,0.77
1994,Milwaukee Brewers,AL,115,547,586,1045,99,4.76,5.1,9.09,0.86
1995,Milwaukee Brewers,AL,144,740,747,1329,128,5.14,5.19,9.23,0.89
1996,Milwaukee Brewers,AL,162,894,899,1578,178,5.52,5.55,9.74,1.1
1997,Milwaukee Brewers,AL,161,681,742,1415,135,4.23,4.61,8.79,0.84
1998,Milwaukee Brewers,NL,162,707,812,1439,152,4.36,5.01,8.88,0.94
1999,Milwaukee Brewers,NL,161,815,886,1524,165,5.06,5.5,9.47,1.02
2000,Milwaukee Brewers,NL,163,740,826,1366,177,4.54,5.07,8.38,1.09
2001,Milwaukee Brewers,NL,162,740,806,1378,209,4.57,4.98,8.51,1.29
2002,Milwaukee Brewers,NL,162,627,821,1369,139,3.87,5.07,8.45,0.86
2003,Milwaukee Brewers,NL,162,714,873,1423,196,4.41,5.39,8.78,1.21
2004,Milwaukee Brewers,NL,161,634,757,1358,135,3.94,4.7,8.43,0.84
2005,Milwaukee Brewers,NL,162,726,697,1413,175,4.48,4.3,8.72,1.08
2006,Milwaukee Brewers,NL,162,730,833,1400,180,4.51,5.14,8.64,1.11
2007,Milwaukee Brewers,NL,162,801,776,1455,231,4.94,4.79,8.98,1.43
2008,Milwaukee Brewers,NL,162,750,689,1398,198,4.63,4.25,8.63,1.22
2009,Milwaukee Brewers,NL,162,785,818,1447,182,4.85,5.05,8.93,1.12
2010,Milwaukee Brewers,NL,162,750,804,1471,182,4.63,4.96,9.08,1.12
2011,Milwaukee Brewers,NL,162,721,638,1422,185,4.45,3.94,8.78,1.14
2012,Milwaukee Brewers,NL,162,776,733,1442,202,4.79,4.52,8.9,1.25
2013,Milwaukee Brewers,NL,162,640,687,1381,157,3.95,4.24,8.52,0.97
2014,Milwaukee Brewers,NL,162,650,657,1366,150,4.01,4.06,8.43,0.93
2015,Milwaukee Brewers,NL,162,655,738,1378,145,4.04,4.56,8.51,0.9
2016,Milwaukee Brewers,NL,162,671,733,1299,194,4.14,4.52,8.02,1.2
2017,Milwaukee Brewers,NL,104,502,484,899,155,4.83,4.52,8.64,1.49
1970,Minnesota Twins,AL,162,744,605,1438,153,4.59,3.73,8.88,0.94
1971,Minnesota Twins,AL,160,654,670,1406,116,4.09,4.19,8.79,0.73
1972,Minnesota Twins,AL,154,537,535,1277,93,3.49,3.47,8.29,0.6
1973,Minnesota Twins,AL,162,738,692,1521,120,4.56,4.27,9.39,0.74
1974,Minnesota Twins,AL,163,673,669,1530,111,4.13,4.1,9.39,0.68
1975,Minnesota Twins,AL,159,724,736,1497,121,4.55,4.63,9.42,0.76
1976,Minnesota Twins,AL,162,743,704,1526,81,4.59,4.35,9.42,0.5
1977,Minnesota Twins,AL,161,867,776,1588,123,5.39,4.82,9.86,0.76
1978,Minnesota Twins,AL,162,666,678,1472,82,4.11,4.19,9.09,0.51
1979,Minnesota Twins,AL,162,764,725,1544,112,4.72,4.48,9.53,0.69
1980,Minnesota Twins,AL,161,670,724,1468,99,4.16,4.5,9.12,0.61
1981,Minnesota Twins,AL,110,378,486,884,47,3.44,4.42,8.04,0.43
1982,Minnesota Twins,AL,162,657,819,1427,148,4.06,5.06,8.81,0.91
1983,Minnesota Twins,AL,162,709,822,1463,141,4.38,5.07,9.03,0.87
1984,Minnesota Twins,AL,162,673,675,1473,114,4.15,4.17,9.09,0.7
1985,Minnesota Twins,AL,162,705,782,1453,141,4.35,4.83,8.97,0.87
1986,Minnesota Twins,AL,162,741,839,1446,196,4.57,5.18,8.93,1.21
1987,Minnesota Twins,AL,162,786,806,1422,196,4.85,4.98,8.78,1.21
1988,Minnesota Twins,AL,162,759,672,1508,151,4.69,4.15,9.31,0.93
1989,Minnesota Twins,AL,162,740,738,1542,117,4.57,4.56,9.52,0.72
1990,Minnesota Twins,AL,162,666,729,1458,100,4.11,4.5,9,0.62
1991,Minnesota Twins,AL,162,776,652,1557,140,4.79,4.02,9.61,0.86
1992,Minnesota Twins,AL,162,747,653,1544,104,4.61,4.03,9.53,0.64
1993,Minnesota Twins,AL,162,693,830,1480,121,4.28,5.12,9.14,0.75
1994,Minnesota Twins,AL,113,594,688,1092,103,5.26,6.09,9.66,0.91
1995,Minnesota Twins,AL,144,703,889,1398,120,4.88,6.17,9.71,0.83
1996,Minnesota Twins,AL,162,877,900,1633,118,5.41,5.56,10.08,0.73
1997,Minnesota Twins,AL,162,772,861,1522,132,4.77,5.31,9.4,0.81
1998,Minnesota Twins,AL,162,734,818,1499,115,4.53,5.05,9.25,0.71
1999,Minnesota Twins,AL,161,686,845,1450,105,4.26,5.25,9.01,0.65
2000,Minnesota Twins,AL,162,748,880,1516,116,4.62,5.43,9.36,0.72
2001,Minnesota Twins,AL,162,771,766,1514,164,4.76,4.73,9.35,1.01
2002,Minnesota Twins,AL,161,768,712,1518,167,4.77,4.42,9.43,1.04
2003,Minnesota Twins,AL,162,801,758,1567,155,4.94,4.68,9.67,0.96
2004,Minnesota Twins,AL,162,780,715,1494,191,4.81,4.41,9.22,1.18
2005,Minnesota Twins,AL,162,688,662,1441,134,4.25,4.09,8.9,0.83
2006,Minnesota Twins,AL,162,801,683,1608,143,4.94,4.22,9.93,0.88
2007,Minnesota Twins,AL,162,718,725,1460,118,4.43,4.48,9.01,0.73
2008,Minnesota Twins,AL,163,829,745,1572,111,5.09,4.57,9.64,0.68
2009,Minnesota Twins,AL,163,817,765,1539,172,5.01,4.69,9.44,1.06
2010,Minnesota Twins,AL,162,781,671,1521,142,4.82,4.14,9.39,0.88
2011,Minnesota Twins,AL,162,619,804,1357,103,3.82,4.96,8.38,0.64
2012,Minnesota Twins,AL,162,701,832,1448,131,4.33,5.14,8.94,0.81
2013,Minnesota Twins,AL,162,614,788,1346,151,3.79,4.86,8.31,0.93
2014,Minnesota Twins,AL,162,715,777,1412,128,4.41,4.8,8.72,0.79
2015,Minnesota Twins,AL,162,696,700,1349,156,4.3,4.32,8.33,0.96
2016,Minnesota Twins,AL,162,722,889,1409,200,4.46,5.49,8.7,1.23
2017,Minnesota Twins,AL,100,454,541,860,109,4.54,5.25,8.6,1.09
1970,Montreal Expos,NL,162,687,807,1284,136,4.24,4.98,7.93,0.84
1971,Montreal Expos,NL,162,622,729,1312,88,3.84,4.5,8.1,0.54
1972,Montreal Expos,NL,156,513,609,1205,91,3.29,3.9,7.72,0.58
1973,Montreal Expos,NL,162,668,702,1345,125,4.12,4.33,8.3,0.77
1974,Montreal Expos,NL,161,662,657,1355,86,4.11,4.08,8.42,0.53
1975,Montreal Expos,NL,162,601,690,1346,98,3.71,4.26,8.31,0.6
1976,Montreal Expos,NL,162,531,734,1275,94,3.28,4.53,7.87,0.58
1977,Montreal Expos,NL,162,665,736,1474,138,4.1,4.54,9.1,0.85
1978,Montreal Expos,NL,162,633,611,1404,121,3.91,3.77,8.67,0.75
1979,Montreal Expos,NL,160,701,581,1445,143,4.38,3.63,9.03,0.89
1980,Montreal Expos,NL,162,694,629,1407,114,4.28,3.88,8.69,0.7
1981,Montreal Expos,NL,108,443,394,883,81,4.1,3.65,8.18,0.75
1982,Montreal Expos,NL,162,697,616,1454,133,4.3,3.8,8.98,0.82
1983,Montreal Expos,NL,163,677,646,1482,102,4.15,3.96,9.09,0.63
1984,Montreal Expos,NL,161,593,585,1367,96,3.68,3.63,8.49,0.6
1985,Montreal Expos,NL,161,633,636,1342,118,3.93,3.95,8.34,0.73
1986,Montreal Expos,NL,161,637,688,1401,110,3.96,4.27,8.7,0.68
1987,Montreal Expos,NL,162,741,720,1467,120,4.57,4.44,9.06,0.74
1988,Montreal Expos,NL,163,628,592,1400,107,3.85,3.63,8.59,0.66
1989,Montreal Expos,NL,162,632,630,1353,100,3.9,3.89,8.35,0.62
1990,Montreal Expos,NL,162,662,598,1363,114,4.09,3.69,8.41,0.7
1991,Montreal Expos,NL,161,579,655,1329,95,3.6,4.07,8.25,0.59
1992,Montreal Expos,NL,162,648,581,1381,102,4,3.59,8.52,0.63
1993,Montreal Expos,NL,163,732,682,1410,122,4.49,4.18,8.65,0.75
1994,Montreal Expos,NL,114,585,454,1111,108,5.13,3.98,9.75,0.95
1995,Montreal Expos,NL,144,621,638,1268,118,4.31,4.43,8.81,0.82
1996,Montreal Expos,NL,162,741,668,1441,148,4.57,4.12,8.9,0.91
1997,Montreal Expos,NL,162,691,740,1423,172,4.27,4.57,8.78,1.06
1998,Montreal Expos,NL,162,644,783,1348,147,3.98,4.83,8.32,0.91
1999,Montreal Expos,NL,162,718,853,1473,163,4.43,5.27,9.09,1.01
2000,Montreal Expos,NL,162,738,902,1475,178,4.56,5.57,9.1,1.1
2001,Montreal Expos,NL,162,670,812,1361,131,4.14,5.01,8.4,0.81
2002,Montreal Expos,NL,162,735,718,1432,162,4.54,4.43,8.84,1
2003,Montreal Expos,NL,162,711,716,1404,144,4.39,4.42,8.67,0.89
2004,Montreal Expos,NL,162,635,769,1361,151,3.92,4.75,8.4,0.93
1970,New York Mets,NL,162,695,630,1358,120,4.29,3.89,8.38,0.74
1971,New York Mets,NL,162,588,550,1365,98,3.63,3.4,8.43,0.6
1972,New York Mets,NL,156,528,578,1154,105,3.38,3.71,7.4,0.67
1973,New York Mets,NL,161,608,588,1345,85,3.78,3.65,8.35,0.53
1974,New York Mets,NL,162,572,646,1286,96,3.53,3.99,7.94,0.59
1975,New York Mets,NL,162,646,625,1430,101,3.99,3.86,8.83,0.62
1976,New York Mets,NL,162,615,538,1334,102,3.8,3.32,8.23,0.63
1977,New York Mets,NL,162,587,663,1319,88,3.62,4.09,8.14,0.54
1978,New York Mets,NL,162,607,690,1332,86,3.75,4.26,8.22,0.53
1979,New York Mets,NL,163,593,706,1399,74,3.64,4.33,8.58,0.45
1980,New York Mets,NL,162,611,702,1407,61,3.77,4.33,8.69,0.38
1981,New York Mets,NL,105,348,432,868,57,3.31,4.11,8.27,0.54
1982,New York Mets,NL,162,609,723,1361,97,3.76,4.46,8.4,0.6
1983,New York Mets,NL,162,575,680,1314,112,3.55,4.2,8.11,0.69
1984,New York Mets,NL,162,652,676,1400,107,4.02,4.17,8.64,0.66
1985,New York Mets,NL,162,695,568,1425,134,4.29,3.51,8.8,0.83
1986,New York Mets,NL,162,783,578,1462,148,4.83,3.57,9.02,0.91
1987,New York Mets,NL,162,823,698,1499,192,5.08,4.31,9.25,1.19
1988,New York Mets,NL,160,703,532,1387,152,4.39,3.33,8.67,0.95
1989,New York Mets,NL,162,683,595,1351,147,4.22,3.67,8.34,0.91
1990,New York Mets,NL,162,775,613,1410,172,4.78,3.78,8.7,1.06
1991,New York Mets,NL,161,640,646,1305,117,3.98,4.01,8.11,0.73
1992,New York Mets,NL,162,599,653,1254,93,3.7,4.03,7.74,0.57
1993,New York Mets,NL,162,672,744,1350,158,4.15,4.59,8.33,0.98
1994,New York Mets,NL,113,506,526,966,117,4.48,4.65,8.55,1.04
1995,New York Mets,NL,144,657,618,1323,125,4.56,4.29,9.19,0.87
1996,New York Mets,NL,162,746,779,1515,147,4.6,4.81,9.35,0.91
1997,New York Mets,NL,162,777,709,1448,153,4.8,4.38,8.94,0.94
1998,New York Mets,NL,162,706,645,1425,136,4.36,3.98,8.8,0.84
1999,New York Mets,NL,163,853,711,1553,181,5.23,4.36,9.53,1.11
2000,New York Mets,NL,162,807,738,1445,198,4.98,4.56,8.92,1.22
2001,New York Mets,NL,162,642,713,1361,147,3.96,4.4,8.4,0.91
2002,New York Mets,NL,161,690,703,1409,160,4.29,4.37,8.75,0.99
2003,New York Mets,NL,161,642,754,1317,124,3.99,4.68,8.18,0.77
2004,New York Mets,NL,162,684,731,1376,185,4.22,4.51,8.49,1.14
2005,New York Mets,NL,162,722,648,1421,175,4.46,4,8.77,1.08
2006,New York Mets,NL,162,834,731,1469,200,5.15,4.51,9.07,1.23
2007,New York Mets,NL,162,804,750,1543,177,4.96,4.63,9.52,1.09
2008,New York Mets,NL,162,799,715,1491,172,4.93,4.41,9.2,1.06
2009,New York Mets,NL,162,671,757,1472,95,4.14,4.67,9.09,0.59
2010,New York Mets,NL,162,656,652,1361,128,4.05,4.02,8.4,0.79
2011,New York Mets,NL,162,718,742,1477,108,4.43,4.58,9.12,0.67
2012,New York Mets,NL,162,650,709,1357,139,4.01,4.38,8.38,0.86
2013,New York Mets,NL,162,619,684,1318,130,3.82,4.22,8.14,0.8
2014,New York Mets,NL,162,629,618,1306,125,3.88,3.81,8.06,0.77
2015,New York Mets,NL,162,683,613,1351,177,4.22,3.78,8.34,1.09
2016,New York Mets,NL,162,671,617,1342,218,4.14,3.81,8.28,1.35
2017,New York Mets,NL,100,480,540,863,149,4.8,5.24,8.63,1.49
1970,New York Yankees,AL,163,680,612,1381,111,4.17,3.75,8.47,0.68
1971,New York Yankees,AL,162,648,641,1377,97,4,3.96,8.5,0.6
1972,New York Yankees,AL,155,557,527,1288,103,3.59,3.4,8.31,0.66
1973,New York Yankees,AL,162,641,610,1435,131,3.96,3.77,8.86,0.81
1974,New York Yankees,AL,162,671,623,1451,101,4.14,3.85,8.96,0.62
1975,New York Yankees,AL,160,681,588,1430,110,4.26,3.68,8.94,0.69
1976,New York Yankees,AL,159,730,575,1496,120,4.59,3.62,9.41,0.75
1977,New York Yankees,AL,162,831,651,1576,184,5.13,4.02,9.73,1.14
1978,New York Yankees,AL,163,735,582,1489,125,4.51,3.57,9.13,0.77
1979,New York Yankees,AL,160,734,672,1443,150,4.59,4.2,9.02,0.94
1980,New York Yankees,AL,162,820,662,1484,189,5.06,4.09,9.16,1.17
1981,New York Yankees,AL,107,421,343,889,100,3.93,3.21,8.31,0.93
1982,New York Yankees,AL,162,709,716,1417,161,4.38,4.42,8.75,0.99
1983,New York Yankees,AL,162,770,703,1535,153,4.75,4.34,9.48,0.94
1984,New York Yankees,AL,162,758,679,1560,130,4.68,4.19,9.63,0.8
1985,New York Yankees,AL,161,839,660,1458,176,5.21,4.1,9.06,1.09
1986,New York Yankees,AL,162,797,738,1512,188,4.92,4.56,9.33,1.16
1987,New York Yankees,AL,162,788,758,1445,196,4.86,4.68,8.92,1.21
1988,New York Yankees,AL,161,772,748,1469,148,4.8,4.65,9.12,0.92
1989,New York Yankees,AL,161,698,792,1470,130,4.34,4.92,9.13,0.81
1990,New York Yankees,AL,162,603,749,1322,147,3.72,4.62,8.16,0.91
1991,New York Yankees,AL,162,674,777,1418,147,4.16,4.8,8.75,0.91
1992,New York Yankees,AL,162,733,746,1462,163,4.52,4.6,9.02,1.01
1993,New York Yankees,AL,162,821,761,1568,178,5.07,4.7,9.68,1.1
1994,New York Yankees,AL,113,670,534,1155,139,5.93,4.73,10.22,1.23
1995,New York Yankees,AL,145,749,688,1365,122,5.17,4.74,9.41,0.84
1996,New York Yankees,AL,162,871,787,1621,162,5.38,4.86,10.01,1
1997,New York Yankees,AL,162,891,688,1636,161,5.5,4.25,10.1,0.99
1998,New York Yankees,AL,162,965,656,1625,207,5.96,4.05,10.03,1.28
1999,New York Yankees,AL,162,900,731,1568,193,5.56,4.51,9.68,1.19
2000,New York Yankees,AL,161,871,814,1541,205,5.41,5.06,9.57,1.27
2001,New York Yankees,AL,161,804,713,1488,203,4.99,4.43,9.24,1.26
2002,New York Yankees,AL,161,897,697,1540,223,5.57,4.33,9.57,1.39
2003,New York Yankees,AL,163,877,716,1518,230,5.38,4.39,9.31,1.41
2004,New York Yankees,AL,162,897,808,1483,242,5.54,4.99,9.15,1.49
2005,New York Yankees,AL,162,886,789,1552,229,5.47,4.87,9.58,1.41
2006,New York Yankees,AL,162,930,767,1608,210,5.74,4.73,9.93,1.3
2007,New York Yankees,AL,162,968,777,1656,201,5.98,4.8,10.22,1.24
2008,New York Yankees,AL,162,789,727,1512,180,4.87,4.49,9.33,1.11
2009,New York Yankees,AL,162,915,753,1604,244,5.65,4.65,9.9,1.51
2010,New York Yankees,AL,162,859,693,1485,201,5.3,4.28,9.17,1.24
2011,New York Yankees,AL,162,867,657,1452,222,5.35,4.06,8.96,1.37
2012,New York Yankees,AL,162,804,668,1462,245,4.96,4.12,9.02,1.51
2013,New York Yankees,AL,162,650,671,1321,144,4.01,4.14,8.15,0.89
2014,New York Yankees,AL,162,633,664,1349,147,3.91,4.1,8.33,0.91
2015,New York Yankees,AL,162,764,698,1397,212,4.72,4.31,8.62,1.31
2016,New York Yankees,AL,162,680,702,1378,183,4.2,4.33,8.51,1.13
2017,New York Yankees,AL,100,536,435,923,147,5.36,4.22,9.23,1.47
1970,Oakland Athletics,AL,162,678,593,1338,171,4.19,3.66,8.26,1.06
1971,Oakland Athletics,AL,161,691,564,1383,160,4.29,3.5,8.59,0.99
1972,Oakland Athletics,AL,155,604,457,1248,134,3.9,2.95,8.05,0.86
1973,Oakland Athletics,AL,162,758,615,1431,147,4.68,3.8,8.83,0.91
1974,Oakland Athletics,AL,162,689,551,1315,132,4.25,3.4,8.12,0.81
1975,Oakland Athletics,AL,162,758,606,1376,151,4.68,3.74,8.49,0.93
1976,Oakland Athletics,AL,161,686,598,1319,113,4.26,3.71,8.19,0.7
1977,Oakland Athletics,AL,161,605,749,1284,117,3.76,4.65,7.98,0.73
1978,Oakland Athletics,AL,162,532,690,1304,100,3.28,4.26,8.05,0.62
1979,Oakland Athletics,AL,162,573,860,1276,108,3.54,5.31,7.88,0.67
1980,Oakland Athletics,AL,162,686,642,1424,137,4.23,3.96,8.79,0.85
1981,Oakland Athletics,AL,109,458,403,910,104,4.2,3.7,8.35,0.95
1982,Oakland Athletics,AL,162,691,819,1286,149,4.27,5.06,7.94,0.92
1983,Oakland Athletics,AL,162,708,782,1447,121,4.37,4.83,8.93,0.75
1984,Oakland Athletics,AL,162,738,796,1415,158,4.56,4.91,8.73,0.98
1985,Oakland Athletics,AL,162,757,787,1475,155,4.67,4.86,9.1,0.96
1986,Oakland Athletics,AL,162,731,760,1370,163,4.51,4.69,8.46,1.01
1987,Oakland Athletics,AL,162,806,789,1432,199,4.98,4.87,8.84,1.23
1988,Oakland Athletics,AL,162,800,620,1474,156,4.94,3.83,9.1,0.96
1989,Oakland Athletics,AL,162,712,576,1414,127,4.4,3.56,8.73,0.78
1990,Oakland Athletics,AL,162,733,570,1379,164,4.52,3.52,8.51,1.01
1991,Oakland Athletics,AL,162,760,776,1342,159,4.69,4.79,8.28,0.98
1992,Oakland Athletics,AL,162,745,672,1389,142,4.6,4.15,8.57,0.88
1993,Oakland Athletics,AL,162,715,846,1408,158,4.41,5.22,8.69,0.98
1994,Oakland Athletics,AL,114,549,589,1009,113,4.82,5.17,8.85,0.99
1995,Oakland Athletics,AL,144,730,761,1296,169,5.07,5.28,9,1.17
1996,Oakland Athletics,AL,162,861,900,1492,243,5.31,5.56,9.21,1.5
1997,Oakland Athletics,AL,162,764,946,1451,197,4.72,5.84,8.96,1.22
1998,Oakland Athletics,AL,162,804,866,1413,149,4.96,5.35,8.72,0.92
1999,Oakland Athletics,AL,162,893,846,1430,235,5.51,5.22,8.83,1.45
2000,Oakland Athletics,AL,161,947,813,1501,239,5.88,5.05,9.32,1.48
2001,Oakland Athletics,AL,162,884,645,1469,199,5.46,3.98,9.07,1.23
2002,Oakland Athletics,AL,162,800,654,1450,205,4.94,4.04,8.95,1.27
2003,Oakland Athletics,AL,162,768,643,1398,176,4.74,3.97,8.63,1.09
2004,Oakland Athletics,AL,162,793,742,1545,189,4.9,4.58,9.54,1.17
2005,Oakland Athletics,AL,162,772,658,1476,155,4.77,4.06,9.11,0.96
2006,Oakland Athletics,AL,162,771,727,1429,175,4.76,4.49,8.82,1.08
2007,Oakland Athletics,AL,162,741,758,1430,171,4.57,4.68,8.83,1.06
2008,Oakland Athletics,AL,161,646,690,1318,125,4.01,4.29,8.19,0.78
2009,Oakland Athletics,AL,162,759,761,1464,135,4.69,4.7,9.04,0.83
2010,Oakland Athletics,AL,162,663,626,1396,109,4.09,3.86,8.62,0.67
2011,Oakland Athletics,AL,162,645,679,1330,114,3.98,4.19,8.21,0.7
2012,Oakland Athletics,AL,162,713,614,1315,195,4.4,3.79,8.12,1.2
2013,Oakland Athletics,AL,162,767,625,1403,186,4.73,3.86,8.66,1.15
2014,Oakland Athletics,AL,162,729,572,1354,146,4.5,3.53,8.36,0.9
2015,Oakland Athletics,AL,162,694,729,1405,146,4.28,4.5,8.67,0.9
2016,Oakland Athletics,AL,162,653,761,1352,169,4.03,4.7,8.35,1.04
2017,Oakland Athletics,AL,102,433,534,797,141,4.25,5.09,7.81,1.38
1970,Philadelphia Phillies,NL,161,594,730,1299,101,3.69,4.53,8.07,0.63
1971,Philadelphia Phillies,NL,162,558,688,1289,123,3.44,4.25,7.96,0.76
1972,Philadelphia Phillies,NL,156,503,635,1240,98,3.22,4.07,7.95,0.63
1973,Philadelphia Phillies,NL,162,642,717,1381,134,3.96,4.43,8.52,0.83
1974,Philadelphia Phillies,NL,162,676,701,1434,95,4.17,4.33,8.85,0.59
1975,Philadelphia Phillies,NL,162,735,694,1506,125,4.54,4.28,9.3,0.77
1976,Philadelphia Phillies,NL,162,770,557,1505,110,4.75,3.44,9.29,0.68
1977,Philadelphia Phillies,NL,162,847,668,1548,186,5.23,4.12,9.56,1.15
1978,Philadelphia Phillies,NL,162,708,586,1404,133,4.37,3.62,8.67,0.82
1979,Philadelphia Phillies,NL,163,683,718,1453,119,4.19,4.4,8.91,0.73
1980,Philadelphia Phillies,NL,162,728,639,1517,117,4.49,3.94,9.36,0.72
1981,Philadelphia Phillies,NL,107,491,472,1002,69,4.59,4.41,9.36,0.64
1982,Philadelphia Phillies,NL,162,664,654,1417,112,4.1,4.04,8.75,0.69
1983,Philadelphia Phillies,NL,163,696,635,1352,125,4.27,3.9,8.29,0.77
1984,Philadelphia Phillies,NL,162,720,690,1494,147,4.44,4.26,9.22,0.91
1985,Philadelphia Phillies,NL,162,667,673,1343,141,4.12,4.15,8.29,0.87
1986,Philadelphia Phillies,NL,161,739,713,1386,154,4.59,4.43,8.61,0.96
1987,Philadelphia Phillies,NL,162,702,749,1390,169,4.33,4.62,8.58,1.04
1988,Philadelphia Phillies,NL,162,597,734,1294,106,3.69,4.53,7.99,0.65
1989,Philadelphia Phillies,NL,163,629,735,1324,123,3.86,4.51,8.12,0.75
1990,Philadelphia Phillies,NL,162,646,729,1410,103,3.99,4.5,8.7,0.64
1991,Philadelphia Phillies,NL,162,629,680,1332,111,3.88,4.2,8.22,0.69
1992,Philadelphia Phillies,NL,162,686,717,1392,118,4.23,4.43,8.59,0.73
1993,Philadelphia Phillies,NL,162,877,740,1555,156,5.41,4.57,9.6,0.96
1994,Philadelphia Phillies,NL,115,521,497,1028,80,4.53,4.32,8.94,0.7
1995,Philadelphia Phillies,NL,144,615,658,1296,94,4.27,4.57,9,0.65
1996,Philadelphia Phillies,NL,162,650,790,1405,132,4.01,4.88,8.67,0.81
1997,Philadelphia Phillies,NL,162,668,840,1390,116,4.12,5.19,8.58,0.72
1998,Philadelphia Phillies,NL,162,713,808,1482,126,4.4,4.99,9.15,0.78
1999,Philadelphia Phillies,NL,162,841,846,1539,161,5.19,5.22,9.5,0.99
2000,Philadelphia Phillies,NL,162,708,830,1386,144,4.37,5.12,8.56,0.89
2001,Philadelphia Phillies,NL,162,746,719,1431,164,4.6,4.44,8.83,1.01
2002,Philadelphia Phillies,NL,161,710,724,1428,165,4.41,4.5,8.87,1.02
2003,Philadelphia Phillies,NL,162,791,697,1448,166,4.88,4.3,8.94,1.02
2004,Philadelphia Phillies,NL,162,840,781,1505,215,5.19,4.82,9.29,1.33
2005,Philadelphia Phillies,NL,162,807,726,1494,167,4.98,4.48,9.22,1.03
2006,Philadelphia Phillies,NL,162,865,812,1518,216,5.34,5.01,9.37,1.33
2007,Philadelphia Phillies,NL,162,892,821,1558,213,5.51,5.07,9.62,1.31
2008,Philadelphia Phillies,NL,162,799,680,1407,214,4.93,4.2,8.69,1.32
2009,Philadelphia Phillies,NL,162,820,709,1439,224,5.06,4.38,8.88,1.38
2010,Philadelphia Phillies,NL,162,772,640,1451,166,4.77,3.95,8.96,1.02
2011,Philadelphia Phillies,NL,162,713,529,1409,153,4.4,3.27,8.7,0.94
2012,Philadelphia Phillies,NL,162,684,680,1414,158,4.22,4.2,8.73,0.98
2013,Philadelphia Phillies,NL,162,610,749,1355,140,3.77,4.62,8.36,0.86
2014,Philadelphia Phillies,NL,162,619,687,1356,125,3.82,4.24,8.37,0.77
2015,Philadelphia Phillies,NL,162,626,809,1374,130,3.86,4.99,8.48,0.8
2016,Philadelphia Phillies,NL,162,610,796,1305,161,3.77,4.91,8.06,0.99
2017,Philadelphia Phillies,NL,99,398,493,834,102,4.02,4.79,8.42,1.03
1970,Pittsburgh Pirates,NL,162,729,664,1522,130,4.5,4.1,9.4,0.8
1971,Pittsburgh Pirates,NL,162,788,599,1555,154,4.86,3.7,9.6,0.95
1972,Pittsburgh Pirates,NL,155,691,512,1505,110,4.46,3.3,9.71,0.71
1973,Pittsburgh Pirates,NL,162,704,693,1465,154,4.35,4.28,9.04,0.95
1974,Pittsburgh Pirates,NL,162,751,657,1560,114,4.64,4.06,9.63,0.7
1975,Pittsburgh Pirates,NL,161,712,565,1444,138,4.42,3.51,8.97,0.86
1976,Pittsburgh Pirates,NL,162,708,630,1499,110,4.37,3.89,9.25,0.68
1977,Pittsburgh Pirates,NL,162,734,665,1550,133,4.53,4.1,9.57,0.82
1978,Pittsburgh Pirates,NL,161,684,637,1390,115,4.25,3.96,8.63,0.71
1979,Pittsburgh Pirates,NL,163,775,643,1541,148,4.75,3.94,9.45,0.91
1980,Pittsburgh Pirates,NL,162,666,646,1469,116,4.11,3.99,9.07,0.72
1981,Pittsburgh Pirates,NL,103,407,425,920,55,3.95,4.13,8.93,0.53
1982,Pittsburgh Pirates,NL,162,724,696,1535,134,4.47,4.3,9.48,0.83
1983,Pittsburgh Pirates,NL,162,659,648,1460,121,4.07,4,9.01,0.75
1984,Pittsburgh Pirates,NL,162,615,567,1412,98,3.8,3.5,8.72,0.6
1985,Pittsburgh Pirates,NL,161,568,708,1340,80,3.53,4.4,8.32,0.5
1986,Pittsburgh Pirates,NL,162,663,700,1366,111,4.09,4.32,8.43,0.69
1987,Pittsburgh Pirates,NL,162,723,744,1464,131,4.46,4.59,9.04,0.81
1988,Pittsburgh Pirates,NL,160,651,616,1327,110,4.07,3.85,8.29,0.69
1989,Pittsburgh Pirates,NL,164,637,680,1334,95,3.88,4.15,8.13,0.58
