Year,Team,League,Games,Runs,Runs_Allowed,Hits,Homeruns,Avgerage_Runs,Average_Runs_Allowed,Average_Hits,Average_Homeruns
1970,Chicago Cubs,NL,162,806,679,1424,179,4.98,4.19,8.79,1.1
1971,Chicago Cubs,NL,162,637,648,1401,128,3.93,4,8.65,0.79
1972,Chicago Cubs,NL,156,685,567,1346,133,4.39,3.63,8.63,0.85
1973,Chicago Cubs,NL,161,614,655,1322,117,3.81,4.07,8.21,0.73
1974,Chicago Cubs,NL,162,669,826,1397,110,4.13,5.1,8.62,0.68
1975,Chicago Cubs,NL,162,712,827,1419,95,4.4,5.1,8.76,0.59
1976,Chicago Cubs,NL,162,611,728,1386,105,3.77,4.49,8.56,0.65
1977,Chicago Cubs,NL,162,692,739,1489,111,4.27,4.56,9.19,0.69
1978,Chicago Cubs,NL,162,664,724,1461,72,4.1,4.47,9.02,0.44
1979,Chicago Cubs,NL,162,706,707,1494,135,4.36,4.36,9.22,0.83
1980,Chicago Cubs,NL,162,614,728,1411,107,3.79,4.49,8.71,0.66
1981,Chicago Cubs,NL,106,370,483,838,57,3.49,4.56,7.91,0.54
1982,Chicago Cubs,NL,162,676,709,1436,102,4.17,4.38,8.86,0.63
1983,Chicago Cubs,NL,162,701,719,1436,140,4.33,4.44,8.86,0.86
1984,Chicago Cubs,NL,161,762,658,1415,136,4.73,4.09,8.79,0.84
1985,Chicago Cubs,NL,162,686,729,1397,150,4.23,4.5,8.62,0.93
1986,Chicago Cubs,NL,160,680,781,1409,155,4.25,4.88,8.81,0.97
1987,Chicago Cubs,NL,161,720,801,1475,209,4.47,4.98,9.16,1.3
1988,Chicago Cubs,NL,163,660,694,1481,113,4.05,4.26,9.09,0.69
1989,Chicago Cubs,NL,162,702,623,1438,124,4.33,3.85,8.88,0.77
1990,Chicago Cubs,NL,162,690,774,1474,136,4.26,4.78,9.1,0.84
1991,Chicago Cubs,NL,160,695,734,1395,159,4.34,4.59,8.72,0.99
1992,Chicago Cubs,NL,162,593,624,1420,104,3.66,3.85,8.77,0.64
1993,Chicago Cubs,NL,163,738,739,1521,161,4.53,4.53,9.33,0.99
