DET,1978,1714894
DET,1979,1630929
DET,1980,1785293
DET,1981,1149144
DET,1982,1636058
DET,1983,1829636
DET,1984,2704794
DET,1985,2286906
DET,1986,1899437
DET,1987,2061830
DET,1988,2081162
DET,1989,1543656
DET,1990,1495785
DET,1991,1641661
DET,1992,1423963
DET,1993,1971421
DET,1994,1184783
DET,1995,1180979
DET,1996,1168610
DET,1997,1365157
DET,1998,1409391
DET,1999,2026491
DET,2000,2533752
DET,2001,1921305
DET,2002,1503623
DET,2003,1368245
DET,2004,1917004
DET,2005,2024505
DET,2006,2595937
DET,2007,3047124
DET,2008,3202654
DET,2009,2567185
DET,2010,2461237
DET,2011,2642045
DET,2012,3028033
DET,2013,3083397
DET,2014,2917209
DET,2015,2726048
DET,2016,2493859
FLA,1993,3064847
FLA,1994,1937467
FLA,1995,1700466
FLA,1996,1746767
FLA,1997,2364387
FLA,1998,1730384
FLA,1999,1369420
FLA,2000,1218326
FLA,2001,1261226
FLA,2002,813118
FLA,2003,1303215
FLA,2004,1723105
FLA,2005,1823388
FLA,2006,1165120
FLA,2007,1370511
FLA,2008,1335086
FLA,2009,1464109
FLA,2010,1524894
FLA,2011,1520562
FLA,2012,2219444
FLA,2013,1586322
FLA,2014,1732283
FLA,2015,1752235
FLA,2016,1712417
HOU,1969,1442995
HOU,1970,1253444
HOU,1971,1261589
HOU,1972,1469424
HOU,1973,1394004
HOU,1974,1090728
HOU,1975,858002
HOU,1976,886146
HOU,1977,1109560
HOU,1978,1126145
HOU,1979,1900312
HOU,1980,2278217
HOU,1981,1321282
HOU,1982,1558555
HOU,1983,1351926
HOU,1984,1229862
HOU,1985,1184314
HOU,1986,1734276
HOU,1987,1909902
HOU,1988,1933505
HOU,1989,1834908
HOU,1990,1310927
HOU,1991,1196152
HOU,1992,1211412
HOU,1993,2084618
HOU,1994,1561136
HOU,1995,1363801
HOU,1996,1975888
HOU,1997,2046781
HOU,1998,2458451
HOU,1999,2706017
HOU,2000,3056139
HOU,2001,2904277
HOU,2002,2517357
HOU,2003,2454241
HOU,2004,3087872
HOU,2005,2762472
HOU,2006,3022763
HOU,2007,3020405
HOU,2008,2779487
HOU,2009,2521076
HOU,2010,2331490
HOU,2011,2067016
HOU,2012,1607733
HOU,2013,1651883
HOU,2014,1751829
HOU,2015,2153585
HOU,2016,2306623
KCR,1969,902114
KCR,1970,693047
KCR,1971,910784
KCR,1972,707656
KCR,1973,1345341
KCR,1974,1173292
KCR,1975,1151836
KCR,1976,1680265
KCR,1977,1852603
KCR,1978,2255493
KCR,1979,2261845
KCR,1980,2288714
KCR,1981,1279403
KCR,1982,2284464
KCR,1983,1963875
KCR,1984,1810018
KCR,1985,2162717
KCR,1986,2320794
KCR,1987,2392471
KCR,1988,2350181
KCR,1989,2477700
KCR,1990,2244956
KCR,1991,2161537
KCR,1992,1867689
KCR,1993,1934578
KCR,1994,1400494
KCR,1995,1233530
KCR,1996,1435997
KCR,1997,1517638
KCR,1998,1494875
KCR,1999,1506068
KCR,2000,1677915
KCR,2001,1536371
KCR,2002,1323036
KCR,2003,1779895
KCR,2004,1661478
KCR,2005,1371181
KCR,2006,1372694
KCR,2007,1616687
KCR,2008,1578922
KCR,2009,1797887
KCR,2010,1615327
KCR,2011,1724450
KCR,2012,1739859
KCR,2013,1750754
KCR,2014,1956482
KCR,2015,2708549
KCR,2016,2557712
LAA,1969,758388
LAA,1970,1077741
LAA,1971,926373
LAA,1972,744190
LAA,1973,1058206
LAA,1974,917269
LAA,1975,1058163
LAA,1976,1006774
LAA,1977,1432633
LAA,1978,1755386
LAA,1979,2523575
LAA,1980,2297327
LAA,1981,1441545
LAA,1982,2807360
LAA,1983,2555016
LAA,1984,2402997
LAA,1985,2567427
LAA,1986,2655872
LAA,1987,2696299
LAA,1988,2340925
LAA,1989,2647291
LAA,1990,2555688
LAA,1991,2416235
LAA,1992,2065444
LAA,1993,2057460
LAA,1994,1512622
LAA,1995,1748680
LAA,1996,1820521
LAA,1997,1767330
LAA,1998,2519280
LAA,1999,2253040
LAA,2000,2066977
LAA,2001,2000919
LAA,2002,2305547
LAA,2003,3061094
LAA,2004,3375677
LAA,2005,3404686
LAA,2006,3406790
LAA,2007,3365632
LAA,2008,3336747
LAA,2009,3240386
LAA,2010,3250814
LAA,2011,3166321
LAA,2012,2177617
LAA,2013,3019505
LAA,2014,3095935
LAA,2015,3012765
LAA,2016,3016142
LAD,1969,1784527
LAD,1970,1697142
LAD,1971,2064594
LAD,1972,1860858
LAD,1973,2136192
LAD,1974,2632474
LAD,1975,2539349
LAD,1976,2386301
LAD,1977,2955087
LAD,1978,3347845
LAD,1979,2860954
LAD,1980,3249287
LAD,1981,2381292
LAD,1982,3608881
LAD,1983,3510313
LAD,1984,3134824
LAD,1985,3264593
LAD,1986,3023208
LAD,1987,2797409
LAD,1988,2980262
LAD,1989,2944653
LAD,1990,3002369
LAD,1991,3348170
